order_id,zone,vehicle_type,distance_km,delivery_time_min,rain_flag,claim_filed
ORD-20260001,Centro,Bici,2.0,32,1,0
ORD-20260002,Sur,Bici,1.4,16,0,0
ORD-20260003,Norte,Moto,4.4,39,1,0
ORD-20260004,Norte,Moto,6.4,47,0,1
ORD-20260005,Centro,Bici,2.9,32,0,1
ORD-20260006,Centro,Bici,2.8,28,0,0
ORD-20260007,Centro,Moto,2.3,13,0,0
ORD-20260008,Sur,Bici,3.1,37,1,1
ORD-20260009,Norte,Moto,5.8,38,0,1
ORD-20260010,Norte,Moto,3.7,19,0,0
ORD-20260011,Centro,Moto,4.2,34,0,1
ORD-20260012,Sur,Moto,5.9,45,1,0
ORD-20260013,Sur,Moto,4.1,26,0,0
ORD-20260014,Centro,Bici,2.0,28,1,0
ORD-20260015,Centro,Bici,2.4,26,0,0
ORD-20260016,Centro,Bici,2.3,19,0,0
ORD-20260017,Centro,Moto,3.4,29,0,0
ORD-20260018,Norte,Moto,5.3,38,0,1
ORD-20260019,Centro,Bici,1.9,23,0,0
ORD-20260020,Centro,Moto,4.0,20,0,0
ORD-20260021,Norte,Moto,5.1,31,0,1
ORD-20260022,Centro,Moto,3.1,24,0,0
ORD-20260023,Centro,Bici,2.0,23,0,0
ORD-20260024,Centro,Moto,2.8,16,0,0
ORD-20260025,Centro,Moto,2.7,17,0,0
ORD-20260026,Norte,Moto,2.2,15,0,0
ORD-20260027,Centro,Moto,4.1,23,0,0
ORD-20260028,Norte,Moto,6.9,49,0,0
ORD-20260029,Norte,Moto,4.4,19,0,0
ORD-20260030,Centro,Bici,1.6,20,0,0
ORD-20260031,Norte,Moto,5.5,26,0,0
ORD-20260032,Centro,Bici,2.6,31,1,1
ORD-20260033,Centro,Moto,2.8,13,0,0
ORD-20260034,Sur,Moto,5.3,38,1,1
ORD-20260035,Sur,Moto,5.8,42,0,1
ORD-20260036,Sur,Moto,7.2,43,0,0
ORD-20260037,Centro,Moto,3.0,16,0,0
ORD-20260038,Centro,Bici,1.7,21,0,0
ORD-20260039,Norte,Moto,7.0,47,0,1
